cluster_label,category,priority_score,request_count,reasoning,issue_keys,feedback_text,run_id,run_timestamp
Granular Parallel Test Execution Control,Feature Request,4,3,"Users require more granular control over parallel test execution (at the scenario or method level, e.g., TestNG @test) within the SDK to optimize test run times and efficiency.","['PRDFBK-2655', 'PRDFBK-2652', 'PRDFBK-2245']",PRDFBK-2655 Parallel Test Execution Control | PRDFBK-2652 Ability to run parallel test on each scenario rather than a complete feature fil | PRDFBK-2245 SDK - Support for @test method parallel execution for Testng,run_20251031_043902,2025-10-31T04:49:37.850060
Python SDK Coverage and Functionality,SDK Coverage,4,3,Users are requesting official support for the Python Behave SDK framework and reporting existing issues with the general Py test SDK.,[],PRDFBK-2152 Support For Python Behave SDK | PRDFBK-2116 Support for Behave (Python) | PRDFBK-849 Py test SDK not working correctly,run_20251031_043902,2025-10-31T04:49:37.850060
Ruby SDK Support and Accessibility Features,SDK Coverage,4,2,"Users require improved general support for the Ruby SDK, specifically requesting automation and better accessibility (A11y) features.","['PRDFBK-6074', 'PRDFBK-1033']",PRDFBK-6074 A11y Suport for Ruby - Automate | PRDFBK-1033 Ruby SDK Support,run_20251031_043902,2025-10-31T04:49:37.850060
Browserstack SDK Integration and Certificate Configuration,SDK Coverage,4,2,Customers are experiencing failures with Python SDK integration and require the inclusion of CA certificate configuration support within the Browserstack SDK for secure environments.,"['PRDFBK-5977', 'PRDFBK-5468']",PRDFBK-5977 Browserstack Python SDK Integration does not work | PRDFBK-5468 [IRCC] Include cacert via browserstack-sdk,run_20251031_043902,2025-10-31T04:49:37.850060
Robot Framework (Playwright) SDK Integration,SDK Coverage,4,2,Users request official SDK support for Robot Framework when utilized with the Playwright-based Browser library.,[],PRDFBK-5555 Robot Framework with Browser (the Playwright-based library for Robot Framework) with SDK | PRDFBK-5512 Robot Framework with Browser (the Playwright-based library for Robot Framework)  with SDK,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Support for Gauge Framework,SDK Coverage,4,2,Customers require official SDK support to integrate the product with the Gauge testing framework (Java/Selenium and Python).,"['PRDFBK-4572', 'PRDFBK-4433']",PRDFBK-4572 SDK Support for Selenium + Java + Gauge | PRDFBK-4433 Alation | SDK support for Python Gauge for TO,run_20251031_043902,2025-10-31T04:49:37.850060
Testing Framework Integration Requests,Feature Request,4,2,"Users are requesting new official integrations for specific testing frameworks (TestComplete, Python Behave) to connect with the Test Observability feature.",[],PRDFBK-2715 Test Complete Integration | PRDFBK-680 Python Behave Integration with Test Observability,run_20251031_043902,2025-10-31T04:49:37.850060
Uniformity of Build Tags Across Frameworks,UX Issue,4,2,Customers require standardized implementation and naming conventions for 'Build tags' across all supported frameworks/SDKs to ensure consistency.,[],PRDFBK-2664 Build tags to be uniform across frameworks | PRDFBK-1967 Build tags to be uniform across frameworks,run_20251031_043902,2025-10-31T04:49:37.850060
Detox SDK Support,SDK Coverage,4,2,Customers are requesting the implementation of official SDK support for the Detox mobile E2E testing framework.,[],PRDFBK-2653 SDK support for detox | PRDFBK-1198 SDK support for detox,run_20251031_043902,2025-10-31T04:49:37.850060
Katalon Integration for Test Observability,Feature Request,4,2,Customers need native support to integrate the Katalon testing framework with the Test Observability feature.,"['PRDFBK-401', 'PRDFBK-145']",PRDFBK-401 Katalon Observability integration | PRDFBK-145 Support for Katalon in Test Observability,run_20251031_043902,2025-10-31T04:49:37.850060
Automated Screen Reader Testing for Web,Feature Request,4,1,Request for adding automated scanning features specifically for web content using screen reader simulation or technology.,['PRDFBK-6083'],PRDFBK-6083 Automated Screen Reader Scanning for Web,run_20251031_043902,2025-10-31T04:49:37.850060
Automated Test Report Sticking,Bug,4,1,"Automated test reports are failing to process correctly, becoming stuck during the A11y stage.",['PRDFBK-4375'],PRDFBK-4375 Automated tests reports stuck in A11y,run_20251031_043902,2025-10-31T04:49:37.850060
Enterprise Tunnel Settings Enforcement,Feature Request,4,1,Users require enterprise-level controls to enforce specific tunnel settings and configurations within BrowserStack.,['PRDFBK-3895'],PRDFBK-3895 Enterprise-Level Enforcement of Tunnel Settings in BrowserStack,run_20251031_043902,2025-10-31T04:49:37.850060
Cypress 13 Support for Accessibility Testing,Feature Request,4,1,Users require support for Cypress version 13 to enable a11y automation testing capabilities.,['PRDFBK-3005'],PRDFBK-3005 Cypress 13 latest versions for a11y automation,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Media Upload Capability,Feature Request,4,1,"Customers are requesting functionality to upload various media types (files, images, audio) directly through the SDK.",['PRDFBK-2798'],"PRDFBK-2798 Uploading files, images and audios via SDK",run_20251031_043902,2025-10-31T04:49:37.850060
Cucumber JS Integration for A11y Automation,Feature Request,4,1,A required integration with the Cucumber JS framework is needed to support accessibility (A11y) automation.,['PRDFBK-2663'],PRDFBK-2663 Cucumber JS integration required for A11y automation,run_20251031_043902,2025-10-31T04:49:37.850060
Incorrect POM File Modification on SDK Install,Bug,4,1,The SDK installation process incorrectly modifies or reformats the user's Maven POM configuration file.,['PRDFBK-2184'],PRDFBK-2184 POM file gets formatted on SDK installation,run_20251031_043902,2025-10-31T04:49:37.850060
Missing Default browserstack.yml Generation,Bug,4,1,The browserstack.yml configuration file is not automatically created after adding the required dependency in the pom file.,['PRDFBK-2066'],PRDFBK-2066 browserstack.yml is not created by default after adding dependency in pom,run_20251031_043902,2025-10-31T04:49:37.850060
API for Muted Test Management,Feature Request,4,1,Customers require a dedicated API endpoint to programmatically fetch the status of and trigger tests that have been muted.,['PRDFBK-1242'],PRDFBK-1242 API to fetch and trigger muted tests.,run_20251031_043902,2025-10-31T04:49:37.850060
Customer-Side SDK Debugging Tools,Feature Request,4,1,"Customers require better, self-service tools and documentation for debugging issues directly within their implementation of the SDK.",['PRDFBK-1076'],PRDFBK-1076 SDK Debugging from Customer Side,run_20251031_043902,2025-10-31T04:49:37.850060
Parallel execution support for mobile SDKs,Feature Request,4,1,Customers require the ability to run tests or processes in parallel using the native Android and iOS SDKs to improve efficiency.,['PRDFBK-434'],PRDFBK-434 Support for parallel execution through SDK for Android & iOS,run_20251031_043902,2025-10-31T04:49:37.850060
SpecFlow BDD Integration and Ruby SDK Support,Feature Request,3,3,"Customers require integration for SpecFlow BDD testing frameworks into observability tools, including specific SDK support for Ruby.",[],"PRDFBK-1364 SpecFlow, Ruby Support for Observability | PRDFBK-1115 Spec Flow BDD for Observability | PRDFBK-1112 Spec Flow BDD for Observability",run_20251031_043902,2025-10-31T04:49:37.850060
Kaspresso Test Runner Support,SDK Coverage,3,2,Users are requesting support or documentation for integrating with the Kaspresso Test Runner framework.,"['PRDFBK-5984', 'PRDFBK-5968']",PRDFBK-5984 KaspressoRunner Support Inquiry | PRDFBK-5968 Kaspresso Test Runner Support,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Configuration File Management,Feature Request,3,2,Users require features for centralized configuration YML file management (across projects) and API-driven generation for automation.,"['PRDFBK-4146', 'PRDFBK-2913']",PRDFBK-4146 One SDK config YML file across multiple projects | PRDFBK-2913 Generate SDK YML files using an API call,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Documentation and Logging Features,Feature Request,3,2,Customers require the addition of log4j logging support for SDK terminal output and official changelogs for tracking SDK version changes.,[],PRDFBK-3970 Support log4j with SDK on the terminal logs | PRDFBK-2372 Need changelogs for SDK,run_20251031_043902,2025-10-31T04:49:37.850060
AccelQ SDK Support,SDK Coverage,3,2,Users are requesting the development and release of an official SDK or integration support for AccelQ.,"['PRDFBK-2072', 'PRDFBK-782']",PRDFBK-2072 AccelQ SDK | PRDFBK-782 Support AccelQ,run_20251031_043902,2025-10-31T04:49:37.850060
Cross-platform BS SDK Support,Feature Request,3,1,Request for enabling cross-platform capabilities within the BS SDK.,['PRDFBK-5980'],PRDFBK-5980 Cross platform option in BS SDK,run_20251031_043902,2025-10-31T04:49:37.850060
ANT Build System SDK Support,SDK Coverage,3,1,Customers require official SDK support and integration for projects using the Apache ANT build system.,['PRDFBK-5732'],PRDFBK-5732 Support SDK on ANT builds,run_20251031_043902,2025-10-31T04:49:37.850060
Rust SDK Support,SDK Coverage,3,1,Customers are requesting official SDK support for the Rust programming language.,['PRDFBK-5526'],PRDFBK-5526 Support for Rust language in official SDK,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Conditional Capabilities,Feature Request,3,1,Request for the SDK to support defining and handling capabilities that are conditional based on specific run-time factors.,['PRDFBK-4881'],PRDFBK-4881 Conditional Capabilities in SDK,run_20251031_043902,2025-10-31T04:49:37.850060
Dynamic SDK File Switching,Feature Request,3,1,Customers require the capability to switch or load different SDK configuration files dynamically during application runtime.,['PRDFBK-4880'],PRDFBK-4880 Switch SDK files Dynamically,run_20251031_043902,2025-10-31T04:49:37.850060
Unified App/Web Driver SDK Flow,Feature Request,3,1,Request for the SDK to natively support and integrate both application drivers and web drivers into a unified workflow.,['PRDFBK-4856'],PRDFBK-4856 Support app and web driver in a single flow via SDK,run_20251031_043902,2025-10-31T04:49:37.850060
Dart SDK Support,SDK Coverage,3,1,Customers are requesting the development of an official SDK to support the Dart programming framework/language.,['PRDFBK-4826'],PRDFBK-4826 SDK support for Dart framework,run_20251031_043902,2025-10-31T04:49:37.850060
Selenide SDK Support,SDK Coverage,3,1,Customers are requesting official support and integration for the Selenide SDK.,['PRDFBK-4442'],PRDFBK-4442 Support for Selenide SDK for TO,run_20251031_043902,2025-10-31T04:49:37.850060
Missing Branch Information in NAD,Bug,3,1,Branch information that is expected to be reported is currently failing to display within the NAD system.,['PRDFBK-4376'],PRDFBK-4376 Branch info not coming to NAD,run_20251031_043902,2025-10-31T04:49:37.850060
Asynchronous Test Status Updates for BrowserStack,Feature Request,3,1,"Requesting the ability to update test scenario status asynchronously as soon as they complete, particularly within the BrowserStack testing environment.",['PRDFBK-4314'],PRDFBK-4314 Update test scenario's async as and when they complete on BrowserSTack,run_20251031_043902,2025-10-31T04:49:37.850060
Simultaneous Multi-Device/App Testing,Feature Request,3,1,Customers require the ability to run multiple different application instances on various devices simultaneously for parallel testing.,['PRDFBK-4300'],PRDFBK-4300 Run different apps with different devices at the same time,run_20251031_043902,2025-10-31T04:49:37.850060
Appium Java Serenity Support,Feature Request,3,1,Customers require official support for integrating Appium testing capabilities specifically within the Java Serenity framework.,['PRDFBK-3978'],PRDFBK-3978 Appium support for Java Serenity,run_20251031_043902,2025-10-31T04:49:37.850060
Java Serenity SDK - Parallels Per Platform Support,SDK Coverage,3,1,"Customers require support for ""Parallels Per Platform"" functionality within the Java Serenity SDK.",['PRDFBK-3977'],PRDFBK-3977 Parallels Per Platform not supported on Java Serenity SDK,run_20251031_043902,2025-10-31T04:49:37.850060
Playwright Video Config Parameter,Feature Request,3,1,A request for adding support for configuring video parameters directly within the Playwright configuration file.,['PRDFBK-3849'],PRDFBK-3849 Support for video parameter in playwright config file,run_20251031_043902,2025-10-31T04:49:37.850060
Reqnroll SDK Integration,Feature Request,3,1,Users require official SDK support and integration for the Reqnroll BDD testing framework.,['PRDFBK-3598'],PRDFBK-3598 Support for https://reqnroll.net/ via the SDK,run_20251031_043902,2025-10-31T04:49:37.850060
Java SDK Compatibility with Temp Files,Bug,3,1,"The Java SDK fails to operate correctly when accessing files within the standard temporary directory, specifically encountering issues with Gradle temporary file paths.",['PRDFBK-3298'],PRDFBK-3298 Java SDK doesnt work with file %TEMP%/gradl,run_20251031_043902,2025-10-31T04:49:37.850060
Application to Test Case Mapping,Feature Request,3,1,Users require functionality to establish a direct mapping between applications/products and specific test cases.,['PRDFBK-2928'],PRDFBK-2928 App to testcase mapping,run_20251031_043902,2025-10-31T04:49:37.850060
Night Watch JS Lower Version Support,SDK Coverage,3,1,Customers require Test Observability to be compatible with older/lower versions of the Night Watch JS testing framework.,['PRDFBK-2916'],PRDFBK-2916 Support for Lower Versions of Night Watch JS with Test Observability,run_20251031_043902,2025-10-31T04:49:37.850060
Jetbrain SDK Plugin,Feature Request,3,1,Feedback or request regarding the functionality of the Jetbrain SDK plugin.,['PRDFBK-2842'],PRDFBK-2842 Jetbrain SDK plugin,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Test Skipping Optimization,Feature Request,3,1,Request for the SDK to detect tests lacking Percy snapshots and automatically skip them for performance optimization.,['PRDFBK-2839'],PRDFBK-2839 Have SDK identiofy tests without Percy snapshots and skip when using Percy,run_20251031_043902,2025-10-31T04:49:37.850060
New Parallelism Format Option,Feature Request,3,1,Customers are requesting alternative configuration or implementation formats for handling parallelism.,['PRDFBK-2799'],PRDFBK-2799 Another parallelism format,run_20251031_043902,2025-10-31T04:49:37.850060
Test Execution Visibility Conditional Dependency,Bug,3,1,The Automated Test Execution status is only displayed on the Test Management Dashboard when the Test Optimization (TO) feature is explicitly enabled.,['PRDFBK-2661'],PRDFBK-2661 Automated Test Execution appears on the TM Dashboard only when TO is enabled.,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Session Status and Naming,Feature Request,3,1,Users require official SDK methods to retrieve the current session status and set a custom session name.,['PRDFBK-2659'],PRDFBK-2659 SDK support for session status and name,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Lack of Transparency,UX Issue,3,1,The SDK is criticized for not providing enough transparency regarding its internal operations and processes.,[],PRDFBK-2169 SDK not being transparent,run_20251031_043902,2025-10-31T04:49:37.850060
Test Level Capabilities Management,Feature Request,3,1,Request for managing or defining capabilities/limits specifically at the individual test execution level.,['PRDFBK-2128'],PRDFBK-2128 Test-Lvl Caps,run_20251031_043902,2025-10-31T04:49:37.850060
Capybara SDK Support,SDK Coverage,3,1,"The feedback explicitly mentions the Capybara SDK, suggesting a need for integration, support, or discussion regarding this specific tool.",['PRDFBK-2069'],PRDFBK-2069 Capybara SDK,run_20251031_043902,2025-10-31T04:49:37.850060
SDK YML buildIdentifier Behavior,Bug,3,1,Commenting out the `buildIdentifier` field in the SDK YML fails to prevent the addition of a unique identifying number to the build output.,['PRDFBK-1966'],"PRDFBK-1966 Commenting out buildIdentifier in SDK YML, should not add unique number in buil",run_20251031_043902,2025-10-31T04:49:37.850060
TestCafe Integration Support,Feature Request,3,1,A request for official support and integration of the TestCafe testing framework for observability/instrumentation purposes.,['PRDFBK-1514'],PRDFBK-1514 testcafe for o11y,run_20251031_043902,2025-10-31T04:49:37.850060
XCUITest Framework Integration,Feature Request,3,1,Customers require formal support and integration with the Apple XCUITest framework.,['PRDFBK-905'],PRDFBK-905 Support for XCUITest,run_20251031_043902,2025-10-31T04:49:37.850060
TestNG Integration Request,Feature Request,3,1,A direct integration with the TestNG testing framework is requested.,['PRDFBK-749'],PRDFBK-749 Customer would like direct integration with TestNG,run_20251031_043902,2025-10-31T04:49:37.850060
Change Default SDK Logs Path,Feature Request,2,1,Users require a configuration option to change the default logging output path for the Browserstack SDK.,['PRDFBK-2837'],PRDFBK-2837 change default logs path of Browserstack SDK,run_20251031_043902,2025-10-31T04:49:37.850060
Show Platforms in SDK Terminal Output,Feature Request,2,1,A request for the SDK to display platform information explicitly within the terminal output.,['PRDFBK-314'],PRDFBK-314 SDK feedback - Show Platforms in terminal,run_20251031_043902,2025-10-31T04:49:37.850060
Error: Failed to Summarize,Other,1,1,"Error classifying batch: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10
Please retry in 33.438895435s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 33
}
]",[],PRDFBK-695 Support Mspec framework for Test Observability,run_20251031_043902,2025-10-31T04:49:37.850060
